BtHWp100,BtHWp200,BtHWp300,BtHWp400,BtHWp500,BtHWp600,BtHWp700,BtHWp800,BtHWp900,BtHWp1000,BtHWpn,Weekday
470.263855,470.263855,470.263855,470.263855,470.263855,470.263855,470.263855,470.263855,470.263855,470.263855,470.263855,954
265.9476013,265.9476013,265.9476013,265.9476013,265.9476013,265.9476013,265.9476013,265.9476013,265.9476013,265.9476013,265.9476013,209
57726.01563,221448.4844,528045.875,952788.1875,1311496.875,1529844,1793263,2135474.5,2550823.75,3164024.25,47208264,238
53382.67969,170609.4531,622773.6875,1732654.875,3367745,4792107,5918252.5,6878428,7651350,8761559,32828790,239
5449.217285,67916.82813,182048.8438,263220.4063,305969.5313,453924.3125,690154.3125,877890.8125,989306.3125,1143842.5,5298156,33
74139.82813,791658.5,3053888.75,9275214,20772762,39550564,66774716,96191120,136245792,188898192,2746114304,535
38.915062,63.8142471,63.8142471,63.8142471,63.8142471,63.8142471,63.8142471,63.8142471,63.8142471,63.8142471,63.8142471,282
1303.408325,2172.415283,2172.415283,2172.415283,2172.415283,2172.415283,2172.415283,2172.415283,2172.415283,2172.415283,2172.415283,168
811.0423584,941.5002441,941.5002441,941.5002441,941.5002441,941.5002441,941.5002441,941.5002441,941.5002441,941.5002441,941.5002441,252
1610.529663,6655.534668,31467.82031,64776.125,83660.85156,87063.57813,87875.96875,90806.4375,92174.07813,93699.10156,4759242.5,17
12.7407694,1309.919678,11841.85449,100564.2969,338289.9688,692840.375,808202.4375,815430.1875,816965.875,818552.125,5492370.5,435
22854.4082,22854.4082,275836.7813,949551.8125,3245072.75,6025758,10129758,14467326,20283518,27533682,98335048,132
11583.78516,32541.74609,46466.51172,277935.0625,808628.6875,1396664.875,1973067,3217943.5,4458820,5697658.5,23698324,142
150389.4688,1608188.75,4361795.5,8198897,14722461,28746002,48425248,64843216,79368408,90579280,220213344,56
38402.25391,183555.5,871242.0625,2033202.125,2748888,3623419,4077505,4313919,4488082.5,4764196.5,11885593,111
104598.2656,1137301.25,4381318,14328920,35828880,69092496,111919160,152120672,191272160,231038496,725633792,96
108848.2734,1016480.75,3412093.75,8923910,21622104,49102912,97931888,165432480,260313584,380747968,4876676096,805
19228.99609,330473.875,1262020,4229662,9759997,20209352,35924372,52719376,77123536,112711344,2289804544,144
24582.88672,191417.0313,859126.5625,2271729.75,4897436.5,10280073,17002500,22225992,29742082,39500084,324797248,85
5444.188965,119574.0547,462137,1632869.875,3890490,8510831,15870200,25250484,35903380,45635456,81381160,232
147525.625,1112819.75,4072170.5,11340646,29245674,58002048,88393424,122336976,164887392,215925344,851361728,287
3229.933106,16711.37305,49743.20703,90176.22656,192311.4219,434870.25,925352.75,1982931.625,3628535,6704946.5,122330632,164
2100.045166,14739.98828,18702.35742,26521.20898,41406.07031,76811.46875,158810.9063,289104.375,475770.3125,801060.875,7950089,26
3245.630127,65305.97266,145167.0313,253176,421781.4063,571749.1875,670416.625,906667.625,1288789.5,1555511.25,4814011.5,250
25524.80273,120513.4453,297181.0313,380376.5313,583091.5625,840395.3125,1331982.125,1610747.125,1952978.625,2184234.5,7790182,104
124005.7109,1062404.875,3858740.5,11688964,27753816,49030108,82475168,127021320,181639472,248001824,1130619264,429
53632.87109,504745.9688,1326935.875,3178648.75,6284000,11859569,21708514,38133600,57612912,83189408,563214528,680
19639.44531,55955.54297,107184.9453,125093.7891,141848.2813,157987.5938,172540.8281,185855.9688,203466.0313,237279.9375,6145718,55
91436.61719,748022.25,2442488.5,4320471,7537809.5,11599514,18496676,25484802,32867044,38697172,133876584,167
196520.8438,752626.1875,1127470.25,1810747.25,2821261.75,5458913,9107920,13079642,16911038,20970806,88097312,192
277.1112976,3406.361328,14903.55371,129656.4922,269809.0625,455557.9375,863590.4375,1192353,1679628.375,2105045.75,4814011.5,259
