BtHWp100,BtHWp200,BtHWp300,BtHWp400,BtHWp500,BtHWp600,BtHWp700,BtHWp800,BtHWp900,BtHWp1000,Weekday
470.263855,470.263855,470.263855,470.263855,470.263855,470.263855,470.263855,470.263855,470.263855,470.263855,954
265.9476013,265.9476013,265.9476013,265.9476013,265.9476013,265.9476013,265.9476013,265.9476013,265.9476013,265.9476013,209
66304.875,230027.3438,570989.8125,995983.875,1381264.875,1625541.5,1958475.75,2336760.75,2874166.25,3745634.75,238
53382.67969,191217.125,763894.4375,2090484,3822507.5,5196032,6384271,7268475,8212365.5,9807952,239
5449.217285,68548.28906,186043.9219,271159.2813,346693.9063,523792.2188,778850.9375,902057.875,1017532.438,1239306,33
79555.21094,828001,3448977.25,10282556,23152858,44516640,75869632,111195896,156734352,217638432,535
38.915062,63.8142471,63.8142471,63.8142471,63.8142471,63.8142471,63.8142471,63.8142471,63.8142471,63.8142471,282
1303.408325,2172.415283,2172.415283,2172.415283,2172.415283,2172.415283,2172.415283,2172.415283,2172.415283,2172.415283,168
811.0423584,941.5002441,941.5002441,941.5002441,941.5002441,941.5002441,941.5002441,941.5002441,941.5002441,941.5002441,252
1610.529663,6655.534668,31988.69531,64908.32031,83862.25781,87310.10938,88105.25781,91046.90625,92488.04688,94614.13281,17
29.1938782,2424.253906,20804.59961,132441.2969,436861.0625,710493.25,810538.75,816138.0625,817155.0625,819472.0625,435
22854.4082,22854.4082,353228.7188,1374121.25,3940184.5,7190765,11854467,16958138,23748096,29908670,132
11583.78516,32541.74609,46466.51172,328996.4375,919457.5625,1500535.625,2364417.25,3620415.75,5062398,6431645,142
195434.1563,1916528.875,5041517,9522890,18516146,36774308,56600912,72602816,86033232,97249544,56
38402.25391,201382.9063,955940.875,2149357.25,3070311.5,3708422,4072473,4273184,4469193.5,4852481,111
104683.1641,1290301.625,5491152,18028400,44645556,83516280,130692344,172390624,212438752,251184256,96
121751.2813,1081607,4191913.25,10923146,28025186,62383044,123149160,205232592,312969440,442889632,805
19228.99609,330869.4375,1300851.375,4459609.5,10397805,21413450,39216408,59130344,87721528,131599984,144
24582.88672,216520,896145.25,2293639.25,5180315,11152696,18340046,24721118,33001942,45375352,85
5577.619141,146519.1719,525379.75,1741804.75,4321495.5,9612544,17973634,27903162,38667632,47704352,232
168479.4844,1264157,4838832.5,14275464,36268956,67224296,98041856,136796240,182635328,239474560,287
3229.933106,17890.95117,53710.92188,100669.1484,219070.5313,540622.3125,1183664.625,2460302.5,4816365,8643848,164
2100.045166,15919.56738,18702.35742,28933.69727,44984.05859,92395.82031,200171.0469,341127.4375,643201.125,967811.5,26
3245.630127,76047.46094,157682.7969,282700.625,456641.8438,584719.25,701905.8125,1028461,1373488.125,1713230.375,250
25524.80273,122451.8359,303612.3125,395226,618341.6875,1008192.313,1421931.375,1772454.875,2072015.5,2256316.25,104
124022.3516,1170641.625,4526225.5,14100659,31228978,56264552,92981248,143215504,203084688,275627648,429
57893.57031,504745.9688,1384246.125,3340546.5,6713559.5,13249661,24681834,42989300,63901096,93143848,680
19639.44531,56476.41797,108747.5625,128234.6719,145590.3594,162402.2188,175156.0938,195529.9688,222631.2656,268647.8125,55
102039.0547,889994.125,2629455,4943141.5,8413292,13940534,21054206,29476212,36311252,41419380,167
196520.8438,754172.0625,1175019.125,1848010,3218793.5,5827372.5,10418275,14450349,18972712,22885330,192
277.1112976,3460.707275,17404.89844,144231,287422.9375,515670.375,956803,1326633.5,1784385.5,2234611.25,259
